date,department,system,login_failures,new_device_connections,phishing_email_signals,privileged_access_attempts,suspicious_ip_accesses,unusual_file_downloads,total_events,unique_users,unique_devices,external_ip_events,off_hours_events,high_severity_events,total_download_volume_mb,external_ip_ratio,off_hours_ratio,high_severity_ratio,login_failures_7d_avg,login_failures_spike_ratio,suspicious_ip_accesses_7d_avg,suspicious_ip_accesses_spike_ratio,unusual_file_downloads_7d_avg,unusual_file_downloads_spike_ratio,new_device_connections_7d_avg,new_device_connections_spike_ratio,phishing_email_signals_7d_avg,phishing_email_signals_spike_ratio,privileged_access_attempts_7d_avg,privileged_access_attempts_spike_ratio,total_events_7d_avg,total_events_spike_ratio,external_ip_events_7d_avg,external_ip_events_spike_ratio,off_hours_events_7d_avg,off_hours_events_spike_ratio,rule_based_score,incident_probability,incident_next_7d,primary_driver
2025-10-03,Admissions,admissions-portal,11,4,5,0,1,0,21,21,21,9,3,2,0,0.42857142857142855,0.14285714285714285,0.09523809523809523,,11.0,,1.0,,0.0,,4.0,,5.0,,0.0,,21.0,,9.0,,3.0,48.26,0.9985,1,Login failures
2025-10-03,Admissions,application-db,5,0,4,2,3,3,17,17,16,10,5,7,7219,0.5882352941176471,0.29411764705882354,0.4117647058823529,,5.0,,3.0,,3.0,,0.0,,4.0,,2.0,,17.0,,10.0,,5.0,67.08,0.9994,1,Phishing patterns
2025-10-03,Finance,finance-erp,11,2,3,4,9,3,32,32,32,17,16,9,5636,0.53125,0.5,0.28125,,11.0,,9.0,,3.0,,2.0,,3.0,,4.0,,32.0,,17.0,,16.0,96.84,1.0,1,Suspicious IP access
2025-10-03,Finance,payroll-db,4,1,5,4,4,1,19,19,19,11,9,6,1755,0.5789473684210527,0.47368421052631576,0.3157894736842105,,4.0,,4.0,,1.0,,1.0,,5.0,,4.0,,19.0,,11.0,,9.0,82.33,0.9999,1,Phishing patterns
2025-10-03,Human Resources,benefits-db,5,1,4,1,1,2,14,14,14,8,3,5,3480,0.5714285714285714,0.21428571428571427,0.35714285714285715,,5.0,,1.0,,2.0,,1.0,,4.0,,1.0,,14.0,,8.0,,3.0,43.85,0.9874,1,Phishing patterns
2025-10-03,Human Resources,hr-portal,5,2,3,1,1,0,12,12,12,10,4,4,0,0.8333333333333334,0.3333333333333333,0.3333333333333333,,5.0,,1.0,,0.0,,2.0,,3.0,,1.0,,12.0,,10.0,,4.0,42.88,0.9767,1,Phishing patterns
2025-10-03,Library,digital-archives,5,4,0,3,1,3,16,16,16,6,7,4,4673,0.375,0.4375,0.25,,5.0,,1.0,,3.0,,4.0,,0.0,,3.0,,16.0,,6.0,,7.0,47.53,0.9873,1,Privileged access attempts
2025-10-03,Library,library-catalog,4,4,0,2,0,2,12,12,11,2,5,3,1878,0.16666666666666666,0.4166666666666667,0.25,,4.0,,0.0,,2.0,,4.0,,0.0,,2.0,,12.0,,2.0,,5.0,23.66,0.7126,1,New device joins
2025-10-03,Registrar,registration-api,4,0,1,2,1,1,9,9,9,4,3,2,2968,0.4444444444444444,0.3333333333333333,0.2222222222222222,,4.0,,1.0,,1.0,,0.0,,1.0,,2.0,,9.0,,4.0,,3.0,25.82,0.8004,1,Login failures
2025-10-03,Registrar,student-records,10,0,3,1,2,1,17,17,17,6,4,3,2114,0.35294117647058826,0.23529411764705882,0.17647058823529413,,10.0,,2.0,,1.0,,0.0,,3.0,,1.0,,17.0,,6.0,,4.0,42.99,0.9926,1,Login failures
2025-10-03,Research Lab,hpc-cluster,2,1,4,3,4,4,18,18,18,10,4,6,13248,0.5555555555555556,0.2222222222222222,0.3333333333333333,,2.0,,4.0,,4.0,,1.0,,4.0,,3.0,,18.0,,10.0,,4.0,74.61,0.9996,1,Phishing patterns
