timestamp,department,system,event_type,severity,source_ip,source_ip_type,user_id,device_id,download_mb,is_new_device
2025-10-03T00:00:09,Finance,payroll-db,login_failure,low,10.13.245.61,internal,FIN-U3589,FIN-D863,0,0
2025-10-03T00:04:52,Finance,finance-erp,suspicious_ip_access,high,188.19.71.144,external,FIN-U4006,FIN-D538,0,0
2025-10-03T00:08:03,Library,digital-archives,new_device_connection,low,10.206.115.209,internal,LIB-U1390,LIB-D183,0,1
2025-10-03T00:08:39,Registrar,student-records,login_failure,medium,10.206.62.15,internal,REG-U5725,REG-D421,0,0
2025-10-03T00:13:00,Library,library-catalog,new_device_connection,low,10.24.8.86,internal,LIB-U6869,LIB-D771,0,1
2025-10-03T00:18:36,Finance,finance-erp,suspicious_ip_access,medium,105.102.161.247,external,FIN-U4705,FIN-D237,0,0
2025-10-03T00:25:24,Library,library-catalog,new_device_connection,low,10.149.161.18,internal,LIB-U9445,LIB-D224,0,1
2025-10-03T00:44:54,Finance,finance-erp,suspicious_ip_access,medium,22.180.218.106,external,FIN-U4349,FIN-D737,0,0
2025-10-03T00:46:43,Admissions,admissions-portal,login_failure,medium,10.216.127.239,internal,ADM-U2370,ADM-D547,0,0
2025-10-03T00:47:21,Human Resources,benefits-db,suspicious_ip_access,high,124.239.23.197,external,HUM-U9006,HUM-D691,0,0
2025-10-03T00:56:33,Finance,finance-erp,login_failure,low,10.105.44.141,internal,FIN-U9540,FIN-D941,0,0
2025-10-03T00:56:40,Registrar,registration-api,login_failure,medium,10.81.189.39,internal,REG-U8668,REG-D315,0,0
2025-10-03T01:02:56,Finance,payroll-db,privileged_access_attempt,critical,211.13.62.146,external,FIN-U1589,FIN-D985,0,0
2025-10-03T01:05:42,Finance,finance-erp,login_failure,low,10.122.13.18,internal,FIN-U6546,FIN-D103,0,0
2025-10-03T01:19:40,Library,library-catalog,login_failure,low,10.73.5.226,internal,LIB-U3938,LIB-D823,0,0
2025-10-03T01:25:31,Finance,payroll-db,suspicious_ip_access,high,145.245.130.206,external,FIN-U7629,FIN-D601,0,0
2025-10-03T01:33:32,Finance,payroll-db,phishing_email_signal,medium,180.113.209.61,external,FIN-U1332,FIN-D149,0,0
2025-10-03T02:00:26,Research Lab,hpc-cluster,suspicious_ip_access,high,192.94.229.60,external,RES-U5853,RES-D786,0,0
2025-10-03T02:08:01,Human Resources,hr-portal,login_failure,medium,203.208.7.40,external,HUM-U1995,HUM-D734,0,0
2025-10-03T02:10:14,Finance,finance-erp,suspicious_ip_access,high,201.161.59.49,external,FIN-U3628,FIN-D274,0,0
2025-10-03T02:11:44,Research Lab,hpc-cluster,unusual_file_download,medium,10.14.15.212,internal,RES-U1028,RES-D712,3404,0
2025-10-03T02:15:08,Human Resources,hr-portal,phishing_email_signal,medium,78.76.223.197,external,HUM-U9113,HUM-D194,0,0
2025-10-03T02:18:26,Finance,finance-erp,login_failure,low,10.177.199.139,internal,FIN-U1995,FIN-D451,0,0
2025-10-03T02:25:11,Student Services,student-portal,phishing_email_signal,medium,217.113.14.58,external,STU-U1943,STU-D782,0,0
2025-10-03T02:26:46,Registrar,student-records,login_failure,low,10.58.246.20,internal,REG-U9671,REG-D811,0,0
2025-10-03T02:26:54,Admissions,application-db,login_failure,medium,10.173.78.206,internal,ADM-U6212,ADM-D591,0,0
2025-10-03T02:47:40,Library,digital-archives,new_device_connection,medium,10.199.100.82,internal,LIB-U3116,LIB-D773,0,1
2025-10-03T02:48:58,Research Lab,hpc-cluster,unusual_file_download,high,10.64.76.173,internal,RES-U9991,RES-D832,2188,0
2025-10-03T02:55:59,Admissions,application-db,login_failure,low,10.139.75.6,internal,ADM-U2363,ADM-D961,0,0
2025-10-03T02:58:06,Registrar,registration-api,login_failure,low,10.138.91.170,internal,REG-U4677,REG-D495,0,0
2025-10-03T03:04:03,Student Services,student-portal,login_failure,medium,217.134.210.187,external,STU-U6221,STU-D176,0,0
2025-10-03T03:06:55,Finance,finance-erp,phishing_email_signal,medium,155.167.197.3,external,FIN-U8788,FIN-D765,0,0
2025-10-03T03:09:47,Library,library-catalog,login_failure,low,10.152.165.82,internal,LIB-U4725,LIB-D752,0,0
2025-10-03T03:12:32,Registrar,student-records,phishing_email_signal,medium,115.244.168.11,external,REG-U2830,REG-D734,0,0
2025-10-03T03:13:28,Research Lab,hpc-cluster,suspicious_ip_access,medium,163.61.232.191,external,RES-U2572,RES-D382,0,0
2025-10-03T04:06:01,Finance,finance-erp,unusual_file_download,medium,10.96.99.46,internal,FIN-U1076,FIN-D404,1684,0
2025-10-03T04:08:07,Finance,finance-erp,phishing_email_signal,medium,134.218.178.187,external,FIN-U6356,FIN-D154,0,0
2025-10-03T04:25:13,Student Services,housing-api,new_device_connection,medium,149.110.93.196,external,STU-U5848,STU-D759,0,1
2025-10-03T04:25:47,Student Services,student-portal,login_failure,medium,171.62.203.214,external,STU-U7201,STU-D396,0,0
2025-10-03T04:26:50,Finance,payroll-db,suspicious_ip_access,high,98.213.192.11,external,FIN-U4903,FIN-D531,0,0
2025-10-03T04:45:35,Human Resources,hr-portal,phishing_email_signal,high,196.121.51.248,external,HUM-U2671,HUM-D530,0,0
2025-10-03T04:48:37,Student Services,student-portal,privileged_access_attempt,critical,198.151.230.86,external,STU-U5944,STU-D712,0,0
2025-10-03T04:58:18,Student Services,housing-api,phishing_email_signal,high,71.167.227.70,external,STU-U7184,STU-D158,0,0
2025-10-03T05:12:38,Library,library-catalog,privileged_access_attempt,critical,170.85.44.42,external,LIB-U2577,LIB-D139,0,0
2025-10-03T05:21:56,Library,digital-archives,login_failure,low,10.95.102.228,internal,LIB-U6055,LIB-D234,0,0
2025-10-03T05:24:03,Human Resources,benefits-db,privileged_access_attempt,high,109.34.217.146,external,HUM-U8870,HUM-D771,0,0
2025-10-03T05:43:08,Admissions,admissions-portal,new_device_connection,low,10.40.151.47,internal,ADM-U9396,ADM-D763,0,1
2025-10-03T05:51:14,Finance,payroll-db,privileged_access_attempt,critical,10.83.222.1,internal,FIN-U3548,FIN-D154,0,0
2025-10-03T05:55:41,Finance,finance-erp,unusual_file_download,medium,10.108.144.2,internal,FIN-U4739,FIN-D349,975,0
2025-10-03T07:03:19,Registrar,student-records,login_failure,low,10.219.205.235,internal,REG-U2532,REG-D820,0,0
2025-10-03T07:11:16,Admissions,application-db,unusual_file_download,medium,10.75.127.128,internal,ADM-U4902,ADM-D229,4681,0
2025-10-03T07:17:18,Registrar,registration-api,privileged_access_attempt,critical,59.245.50.24,external,REG-U7064,REG-D879,0,0
2025-10-03T07:42:05,Admissions,admissions-portal,new_device_connection,medium,167.144.236.21,external,ADM-U4577,ADM-D974,0,1
2025-10-03T07:43:38,Research Lab,research-data-vault,login_failure,low,10.109.162.50,internal,RES-U8705,RES-D792,0,0
2025-10-03T07:45:29,Admissions,admissions-portal,login_failure,low,10.172.35.149,internal,ADM-U1852,ADM-D684,0,0
2025-10-03T07:48:01,Student Services,student-portal,privileged_access_attempt,critical,10.125.154.59,internal,STU-U5001,STU-D706,0,0
2025-10-03T07:58:09,Student Services,housing-api,new_device_connection,medium,10.97.159.50,internal,STU-U3935,STU-D455,0,1
2025-10-03T07:58:55,Finance,finance-erp,login_failure,low,10.196.213.114,internal,FIN-U1361,FIN-D510,0,0
2025-10-03T08:07:28,Finance,payroll-db,login_failure,medium,10.141.24.116,internal,FIN-U7502,FIN-D842,0,0
2025-10-03T08:07:58,Library,library-catalog,new_device_connection,medium,10.43.108.54,internal,LIB-U1462,LIB-D431,0,1
2025-10-03T08:10:54,Student Services,student-portal,login_failure,low,10.198.43.74,internal,STU-U2905,STU-D219,0,0
2025-10-03T08:14:18,Research Lab,research-data-vault,suspicious_ip_access,high,161.140.211.180,external,RES-U2341,RES-D162,0,0
2025-10-03T08:18:06,Admissions,application-db,suspicious_ip_access,medium,43.71.62.168,external,ADM-U7571,ADM-D753,0,0
2025-10-03T08:19:26,Student Services,student-portal,suspicious_ip_access,medium,174.60.215.211,external,STU-U5174,STU-D590,0,0
2025-10-03T08:24:44,Research Lab,research-data-vault,unusual_file_download,medium,10.65.110.88,internal,RES-U9949,RES-D600,3130,0
2025-10-03T08:33:30,Admissions,admissions-portal,login_failure,medium,10.188.106.207,internal,ADM-U3890,ADM-D250,0,0
2025-10-03T08:34:13,Human Resources,benefits-db,login_failure,medium,10.142.71.217,internal,HUM-U5798,HUM-D656,0,0
2025-10-03T08:37:40,Student Services,housing-api,suspicious_ip_access,medium,141.18.191.114,external,STU-U1463,STU-D467,0,0
2025-10-03T08:42:45,Finance,finance-erp,suspicious_ip_access,medium,97.85.2.172,external,FIN-U2881,FIN-D780,0,0
2025-10-03T08:45:34,Admissions,admissions-portal,login_failure,low,10.152.202.78,internal,ADM-U6424,ADM-D127,0,0
2025-10-03T08:47:02,Admissions,application-db,login_failure,medium,10.158.36.173,internal,ADM-U1930,ADM-D257,0,0
2025-10-03T08:50:14,Library,library-catalog,unusual_file_download,high,10.34.29.100,internal,LIB-U5054,LIB-D997,1539,0
2025-10-03T08:53:08,Human Resources,benefits-db,login_failure,medium,138.170.176.16,external,HUM-U2556,HUM-D814,0,0
2025-10-03T09:22:14,Admissions,application-db,login_failure,medium,10.73.244.23,internal,ADM-U4082,ADM-D206,0,0
2025-10-03T09:26:28,Research Lab,hpc-cluster,phishing_email_signal,medium,125.163.188.176,external,RES-U2208,RES-D983,0,0
2025-10-03T09:27:11,Registrar,student-records,login_failure,medium,10.214.25.106,internal,REG-U2862,REG-D194,0,0
2025-10-03T09:29:20,Finance,finance-erp,privileged_access_attempt,critical,10.33.89.52,internal,FIN-U5992,FIN-D115,0,0
2025-10-03T09:36:51,Research Lab,hpc-cluster,phishing_email_signal,medium,34.58.133.13,external,RES-U8723,RES-D879,0,0
2025-10-03T09:37:23,Research Lab,research-data-vault,phishing_email_signal,high,37.41.200.163,external,RES-U4900,RES-D803,0,0
2025-10-03T09:50:04,Registrar,student-records,suspicious_ip_access,high,76.186.222.17,external,REG-U1215,REG-D945,0,0
