date,department,system,login_failures,new_device_connections,phishing_email_signals,privileged_access_attempts,suspicious_ip_accesses,unusual_file_downloads,total_events,unique_users,unique_devices,external_ip_events,off_hours_events,high_severity_events,total_download_volume_mb,external_ip_ratio,off_hours_ratio,high_severity_ratio,login_failures_7d_avg,login_failures_spike_ratio,suspicious_ip_accesses_7d_avg,suspicious_ip_accesses_spike_ratio,unusual_file_downloads_7d_avg,unusual_file_downloads_spike_ratio,new_device_connections_7d_avg,new_device_connections_spike_ratio,phishing_email_signals_7d_avg,phishing_email_signals_spike_ratio,privileged_access_attempts_7d_avg,privileged_access_attempts_spike_ratio,total_events_7d_avg,total_events_spike_ratio,external_ip_events_7d_avg,external_ip_events_spike_ratio,off_hours_events_7d_avg,off_hours_events_spike_ratio,rule_based_score,incident_probability,incident_next_7d,primary_driver,ml_incident_probability,anomaly_score,final_risk_score,risk_level
2025-10-03,Admissions,admissions-portal,11,4,5,0,1,0,21,21,21,9,3,2,0,0.4285714285714285,0.1428571428571428,0.0952380952380952,,11.0,,1.0,,0.0,,4.0,,5.0,,0.0,,21.0,,9.0,,3.0,48.26,0.9985,1,Login failures,0.7780599305118643,49.63101641172544,66.19,Medium
2025-10-03,Admissions,application-db,5,0,4,2,3,3,17,17,16,10,5,7,7219,0.5882352941176471,0.2941176470588235,0.4117647058823529,,5.0,,3.0,,3.0,,0.0,,4.0,,2.0,,17.0,,10.0,,5.0,67.08,0.9994,1,Phishing patterns,0.884846052839574,53.258590085760915,77.85,High
2025-10-03,Finance,finance-erp,11,2,3,4,9,3,32,32,32,17,16,9,5636,0.53125,0.5,0.28125,,11.0,,9.0,,3.0,,2.0,,3.0,,4.0,,32.0,,17.0,,16.0,96.84,1.0,1,Suspicious IP access,0.9806922622710776,71.26929037379614,93.74,High
2025-10-03,Finance,payroll-db,4,1,5,4,4,1,19,19,19,11,9,6,1755,0.5789473684210527,0.4736842105263157,0.3157894736842105,,4.0,,4.0,,1.0,,1.0,,5.0,,4.0,,19.0,,11.0,,9.0,82.33,0.9999,1,Phishing patterns,0.8922140142915759,56.055193006302105,82.52,High
2025-10-03,Human Resources,benefits-db,5,1,4,1,1,2,14,14,14,8,3,5,3480,0.5714285714285714,0.2142857142857142,0.3571428571428571,,5.0,,1.0,,2.0,,1.0,,4.0,,1.0,,14.0,,8.0,,3.0,43.85,0.9874,1,Phishing patterns,0.7943578879645153,34.512618221604754,63.8,Medium
2025-10-03,Human Resources,hr-portal,5,2,3,1,1,0,12,12,12,10,4,4,0,0.8333333333333334,0.3333333333333333,0.3333333333333333,,5.0,,1.0,,0.0,,2.0,,3.0,,1.0,,12.0,,10.0,,4.0,42.88,0.9767,1,Phishing patterns,0.7836929173304112,34.05259105724904,62.85,Medium
2025-10-03,Library,digital-archives,5,4,0,3,1,3,16,16,16,6,7,4,4673,0.375,0.4375,0.25,,5.0,,1.0,,3.0,,4.0,,0.0,,3.0,,16.0,,6.0,,7.0,47.53,0.9873,1,Privileged access attempts,0.7951087354364139,45.88188757629684,66.47,Medium
2025-10-03,Library,library-catalog,4,4,0,2,0,2,12,12,11,2,5,3,1878,0.1666666666666666,0.4166666666666667,0.25,,4.0,,0.0,,2.0,,4.0,,0.0,,2.0,,12.0,,2.0,,5.0,23.66,0.7126,1,New device joins,0.754214371434903,40.55556619779484,57.25,Medium
2025-10-03,Registrar,registration-api,4,0,1,2,1,1,9,9,9,4,3,2,2968,0.4444444444444444,0.3333333333333333,0.2222222222222222,,4.0,,1.0,,1.0,,0.0,,1.0,,2.0,,9.0,,4.0,,3.0,25.82,0.8004,1,Login failures,0.6913541706647353,22.16487000242695,51.26,Medium
2025-10-03,Registrar,student-records,10,0,3,1,2,1,17,17,17,6,4,3,2114,0.3529411764705882,0.2352941176470588,0.1764705882352941,,10.0,,2.0,,1.0,,0.0,,3.0,,1.0,,17.0,,6.0,,4.0,42.99,0.9926,1,Login failures,0.8278867994762238,34.94367974738691,65.66,Medium
