date,department,system,final_risk_score,risk_level,ml_incident_probability,anomaly_score,rule_based_score,primary_driver,login_failures,suspicious_ip_accesses,unusual_file_downloads,new_device_connections,phishing_email_signals,privileged_access_attempts
2026-03-31,Research Lab,research-data-vault,79.5,High,0.8969284318289114,25.630135480190688,87.34,Suspicious IP access,4,7,5,3,1,3
2026-03-31,Library,library-catalog,77.91,High,0.8942146431963446,32.333280235322995,77.63,Unusual downloads,6,1,8,4,1,3
2026-03-31,Finance,payroll-db,73.78,High,0.8622558839146418,14.775604569758316,79.33,Suspicious IP access,8,7,2,1,1,1
2026-03-31,Student Services,housing-api,73.45,High,0.8288298195204027,21.998842893194386,81.68,Login failures,7,4,1,6,3,2
2026-03-31,Human Resources,benefits-db,67.59,Medium,0.8075087956753215,11.1491309479667,69.85,Login failures,8,3,3,1,2,3
2026-03-31,Registrar,student-records,55.04,Medium,0.6850287947902809,4.6366733486897775,52.97,Login failures,9,1,1,3,3,2
2026-03-31,Human Resources,hr-portal,47.51,Medium,0.5751946277546691,8.036835188489654,47.16,Suspicious IP access,4,5,1,0,3,0
2026-03-31,Finance,finance-erp,47.31,Medium,0.4222850477065877,22.32951076618212,74.49,Suspicious IP access,5,7,0,4,3,0
2026-03-31,Library,digital-archives,39.65,Medium,0.3781018902031874,25.60934083315394,52.47,Unusual downloads,7,0,7,2,1,1
2026-03-31,Student Services,student-portal,34.29,Low,0.33116103138708325,13.07008274899903,49.83,Login failures,6,1,0,4,3,1
2026-03-31,Admissions,admissions-portal,30.39,Low,0.2974500432496448,12.662480500099175,42.56,Login failures,10,1,1,0,2,3
2026-03-31,Admissions,application-db,27.01,Low,0.2650527711676341,2.583978249337887,42.88,Login failures,7,2,1,1,3,1
2026-03-31,Research Lab,hpc-cluster,25.78,Low,0.1987276359339446,22.330253502276204,42.01,Login failures,8,1,1,3,2,1
2026-03-31,Registrar,registration-api,24.49,Low,0.2168701970547599,10.805348503555898,39.43,Phishing patterns,5,1,0,2,5,0
